Family Size,Family,Pairs ≥ 2x,Pairs ≥ 3x,Quadruples with ≥2 Triples
2,"((0, 1, 2), (3, 4, 5))",0,0,0
3,"((0, 1, 2), (0, 1, 3), (0, 4, 5))",1,0,1
3,"((0, 1, 2), (0, 1, 3), (2, 4, 5))",1,0,1
3,"((0, 1, 2), (0, 3, 4), (1, 3, 5))",0,0,0
4,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5))",1,1,6
4,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5))",2,1,4
4,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (2, 3, 5))",1,1,3
4,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5))",3,0,1
4,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 4, 5))",3,0,1
4,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5))",3,0,3
4,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 2, 5))",3,0,3
4,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 3, 5))",3,0,3
4,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 4, 5))",2,0,2
4,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (3, 4, 5))",2,0,2
4,"((0, 1, 2), (0, 1, 3), (0, 4, 5), (1, 4, 5))",2,0,2
4,"((0, 1, 2), (0, 1, 3), (0, 4, 5), (2, 3, 4))",1,0,1
4,"((0, 1, 2), (0, 1, 3), (0, 4, 5), (2, 4, 5))",2,0,2
4,"((0, 1, 2), (0, 1, 3), (2, 4, 5), (3, 4, 5))",2,0,2
4,"((0, 1, 2), (0, 3, 4), (1, 3, 5), (2, 4, 5))",0,0,0
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3))",3,1,6
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (2, 3, 4))",1,1,6
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 5))",3,2,5
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 4, 5))",4,1,4
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 2, 5))",4,1,4
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (1, 4, 5))",4,1,4
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 3, 5))",4,1,4
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (2, 4, 5))",3,1,3
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (0, 3, 5))",4,1,6
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 2, 5))",4,1,4
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (1, 3, 5))",3,1,5
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 4))",2,1,4
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (2, 3, 5))",3,1,5
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 5), (3, 4, 5))",2,1,4
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (2, 3, 4), (2, 3, 5))",2,1,4
5,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (2, 3, 5), (2, 4, 5))",2,1,4
5,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 3))",6,0,1
5,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 2, 4))",4,0,2
5,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (0, 4, 5), (1, 4, 5))",4,0,2
5,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 3, 5))",5,0,3
5,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (1, 4, 5))",5,0,3
5,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 2, 4), (3, 4, 5))",4,0,2
5,"((0, 1, 2), (0, 1, 3), (0, 2, 3), (1, 4, 5), (2, 4, 5))",4,0,2
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 2, 5))",5,0,5
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 4), (1, 4, 5))",4,0,4
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (0, 4, 5))",5,0,5
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 2, 5))",4,0,4
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (1, 4, 5))",3,0,3
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 3, 4))",4,0,4
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (0, 3, 5), (2, 4, 5))",4,0,4
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 2, 5), (3, 4, 5))",3,0,3
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 3, 4), (2, 3, 5))",3,0,3
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 3, 4), (2, 4, 5))",4,0,4
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 3, 5), (2, 4, 5))",4,0,4
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 4, 5), (2, 3, 5))",2,0,2
5,"((0, 1, 2), (0, 1, 3), (0, 2, 4), (1, 4, 5), (3, 4, 5))",3,0,3
5,"((0, 1, 2), (0, 1, 3), (0, 4, 5), (1, 4, 5), (2, 3, 4))",2,0,2
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 2, 4))",4,2,7
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (0, 4, 5))",5,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 3))",6,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 2, 4))",5,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (1, 4, 5))",5,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 3, 4))",4,1,7
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (0, 2, 3), (2, 4, 5))",3,1,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 1, 5), (2, 3, 4), (2, 3, 5))",2,1,7
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (0, 3, 5))",4,3,6
6,"((0, 1, 2), (0, 1, 3), (0, 1, 4), (0, 2, 3), (0, 2, 4), (1, 2, 5))",5,2,5
